A.1.1-001 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #1 | Does the domain name end with.gov.jo? Are the departments and functions reflected as sub-domains? For example:
C.3.2-054 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #54 | Does the Service Guide support search functionality in case the list contains more than 10 services?
C.3.2-055 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #55 | Does searching in the Service Guide neglect Arabic special letters?
C.3.2-056 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #56 | Does searching in the English Service Guide satisfy case insensitivity?
C.3.2-057 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #57 | If services in the Service Guide are categorized, are they categorized based on the visitors’ point of view?
C.3.2-058 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #58 | In case of subcategorized lists, are all items displayed by default?
C.3.2-059 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #59 | Does clicking on a certain search result lead the visitor to the related Service Card page?
C.3.2-060 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #60 | Does the Service Card contain important service information? - Name - Description - Requirements - Procedures - Needed Forms - Expected Completion Time - Fees - Centers - eService Option
C.3.2-061 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #61 | Does the website provide a Branches Guide?
C.3.2-062 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #62 | Does the search facility in the Branches Guide provide searching by branch name?
C.3.2-063 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #63 | Does search facility in the Branches Guide provide searching by branch location )‫?(المحافظة‬
C.3.2-064 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #64 | Does clicking on a certain search result lead the visitor to the related Branch Card page?
C.3.2-065 | Component 3 - Content and Site Architecture | C.3.2 Site Pages | #65 | Does the Branch Card contain important branch information? - Name - Location Description with Map URL - Services Provided - Contact Information - Working Hours
C.3.3-066 | Component 3 - Content and Site Architecture | C.3.3 Downloadable Files | #66 | Are downloadable files clearly named?
C.3.3-067 | Component 3 - Content and Site Architecture | C.3.3 Downloadable Files | #67 | Are files formats and sizes clearly mentioned? For example: PFD, Word, Excel.
C.3.3-068 | Component 3 - Content and Site Architecture | C.3.3 Downloadable Files | #68 | Are files sizes optimized to the minimum?
C.3.3-069 | Component 3 - Content and Site Architecture | C.3.3 Downloadable Files | #69 | Are uploaded file names free from spaces where spaces replaced with underscores?
C.3.3-070 | Component 3 - Content and Site Architecture | C.3.3 Downloadable Files | #70 | Does the website show “download” "‫ "تحميل‬label clearly next to the downloadable file?
C.3.3-071 | Component 3 - Content and Site Architecture | C.3.3 Downloadable Files | #71 | Are files that require purchasing licensed-software avoided?
C.3.4-072 | Component 3 - Content and Site Architecture | C.3.4 Contact Information | #72 | Does contact information comply with GWS? Including: - Entity Phone Numbers - Fax Numbers - P.O. Box Address - Email - Location Description - Location on Google Maps - National Call Center Numbers - Working Hours - Branches Directory Link - Social Media Channels
C.3.4-073 | Component 3 - Content and Site Architecture | C.3.4 Contact Information | #73 | Does the contact information section have a “Contact Us” form?
C.3.4-074 | Component 3 - Content and Site Architecture | C.3.4 Contact Information | #74 | Does the Contact Us form contain at minimum: - Contact Type - Subject - Name - Phone Number - Email
C.3.4-075 | Component 3 - Content and Site Architecture | C.3.4 Contact Information | #75 | Does the visitor receive a confirmation message after submitting the form?
C.3.5-076 | Component 3 - Content and Site Architecture | C.3.5 Cross Government Information | #76 | Does the website footer contain links to cross government information? - Amman Message Website - Human Rights National Plan - Right to Obtain Information - ‫مدونة السلوك الوظيفي‬ - ‫ بوابة الحكومة االلكترونية‬- ‫حكومتي بخدمتي‬ - ‫بخدمتكم‬
C.3.6-077 | Component 3 - Content and Site Architecture | C.3.6 FAQ | #77 | Does the website provide an FAQ page?
C.3.6-078 | Component 3 - Content and Site Architecture | C.3.6 FAQ | #78 | Is the FAQ page located in the secondary menu?
C.3.6-079 | Component 3 - Content and Site Architecture | C.3.6 FAQ | #79 | Are the questions clear and short?
C.3.6-080 | Component 3 - Content and Site Architecture | C.3.6 FAQ | #80 | Are FAQ categorized? For example, Digital transformation questions, entrepreneurship
C.3.6-081 | Component 3 - Content and Site Architecture | C.3.6 FAQ | #81 | Does FAQs provide a facility for visitors to ask new questions?
C.3.7-082 | Component 3 - Content and Site Architecture | C.3.7 Website Policies | #82 | Does the website have a Privacy Policy?
C.3.7-083 | Component 3 - Content and Site Architecture | C.3.7 Website Policies | #83 | Does the website have a Copyrights Statement?
C.3.7-084 | Component 3 - Content and Site Architecture | C.3.7 Website Policies | #84 | Does the website have Terms of Use?
C.3.7-085 | Component 3 - Content and Site Architecture | C.3.7 Website Policies | #85 | Does the website have a Disclaimer section?
C.3.8-086 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #86 | Is the website supported by a Content Management System (CMS)?
C.3.8-087 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #87 | Is the CMS user-friendly? Can non-technical users carry out administrative tasks on the CMS?
C.3.8-088 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #88 | Does the CMS support an unlimited number of users and groups?
C.3.8-089 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #89 | Does the CMS support user roles and privileges in terms of what pages can be controlled and what actions can be done on a page?
C.3.8-090 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #90 | Does the CMS support workflow creation?
C.3.8-091 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #91 | Does the CMS support content versioning?
C.3.8-092 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #92 | Does the CMS support content scheduling?
C.3.8-093 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #93 | Does the CMS support administration transactions logging?
C.3.8-094 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #94 | Does the CMS carry out an SEO Module?
C.3.8-095 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #95 | Does the CMS support multi-language websites?
C.3.8-096 | Component 3 - Content and Site Architecture | C.3.8 Content Management System | #96 | Does the CMS provide out of the box modules? For example, News, calendar, etc.
R.4.1-001 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #1 | Is the website designed in a responsive manner?
R.4.1-002 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #2 | Do webpages in mobile view show component based on priorities?
R.4.1-003 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #3 | Is the logo designed using responsive frameworks and variable sizes? - Logo resizes itself to fit whatever available space has been provided for it. - Logo does not stretch.
R.4.1-004 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #4 | Is the logo in the mobile version displayed at the header’s center?
R.4.1-005 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #5 | Does the “Switch Language” button appear consistently in the header; and isn’t placed in the menu?
R.4.1-006 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #6 | Does the website mobile version convert regular menus to hamburger menus?
R.4.1-007 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #7 | In case of removing the secondary menu, are secondary menu items moved to the main hamburger menu?
R.4.1-008 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #8 | Does the main menu appear on the right-side of the header, for both English and Arabic versions of the website?
R.4.1-009 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #9 | Does the secondary menu appear on the left-side of the header, for both English and Arabic versions of the website?
R.4.1-010 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #10 | Are menus consistent throughout the pages?
R.4.1-011 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #11 | Is the search bar obvious and consistent on the header, not in the menus?
R.4.1-012 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #12 | Are unnecessary images removed?
R.4.1-013 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #13 | Are images properly resized; images are not stretched or shrunk?
R.4.1-014 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #14 | Does resizing or cropping keep content images meaningful and properly displayed?
R.4.1-015 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #15 | Are the buttons large enough to be tapped with a finger?
R.4.1-016 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #16 | Do buttons have enough space between them, providing accurate clicking?
R.4.1-017 | Component 4 - Responsive Web Design | R.4.1 Design for Mobile | #17 | Does the buttons placement follow the Thumb-Zone Rule?
R.4.2-018 | Component 4 - Responsive Web Design | R.4.2 Content | #18 | Is the breadcrumb removed from all responsive design pages?
R.4.2-019 | Component 4 - Responsive Web Design | R.4.2 Content | #19 | Are page side menus removed from all responsive design pages?
R.4.2-020 | Component 4 - Responsive Web Design | R.4.2 Content | #20 | Are ads banners removed from all responsive design pages?
R.4.2-021 | Component 4 - Responsive Web Design | R.4.2 Content | #21 | Are empty spaces within the content increased for more text readability?
R.4.2-001 | Component 5 - Security | R.4.2 Content | #1 | Is a vulnerability assessment performed on the websites annually?
S.5.1-002 | Component 5 - Security | S.5.1 OWASP Top 10 | #2 | Is the website protected and secured against OWASP Top 10? - Injection Attacks - Broken Authentication - Sensitive Data Exposure - Broken Access Control - Security Misconfiguration - Cross-Site Scripting - Insecure Deserialization - Using Components with Known Vulnerabilities - Insufficient Logging and Monitoring
S.5.2-003 | Component 5 - Security | S.5.2 HTTPS protocol | #3 | Does the website use HTTPS protocol?
S.5.2-004 | Component 5 - Security | S.5.2 HTTPS protocol | #4 | Is HTTPS certificate renewed annually?
S.5.3-005 | Component 5 - Security | S.5.3 Software Updates | #5 | Is the Content Management System constantly updated?
S.5.3-006 | Component 5 - Security | S.5.3 Software Updates | #6 | Are CMS plugins and 3rd party components always updated?
S.5.3-007 | Component 5 - Security | S.5.3 Software Updates | #7 | Are hosting services updates and patches installed once they’re released?
S.5.4-008 | Component 5 - Security | S.5.4 Restrict File Uploads | #8 | Regarding files uploaded by visitors, does the website impose extension restrictions?
S.5.4-009 | Component 5 - Security | S.5.4 Restrict File Uploads | #9 | Are files uploaded by visitors stored in separated folders and databases?
S.5.4-010 | Component 5 - Security | S.5.4 Restrict File Uploads | #10 | Are executable files banned?
S.5.4-011 | Component 5 - Security | S.5.4 Restrict File Uploads | #11 | Are double extension files banned?
S.5.5-012 | Component 5 - Security | S.5.5 Using Captcha | #12 | Do forms contain reCAPTCHA v2.0 by Google?
S.5.5-013 | Component 5 - Security | S.5.5 Using Captcha | #13 | Is passing reCAPTCHA mandatory before submission?
S.5.6-014 | Component 5 - Security | S.5.6 Users Passwords | #14 | Does the website configure a strong password policy and provide strong password setting guides? For example, 8 4 Rule.
S.5.6-015 | Component 5 - Security | S.5.6 Users Passwords | #15 | Are passwords stored as encrypted values?
S.5.6-016 | Component 5 - Security | S.5.6 Users Passwords | #16 | Does the account get periodically locked after three failed logins?
S.5.7-017 | Component 5 - Security | S.5.7 Viruses and Malware | #17 | Are the website and hosting environment protected from viruses and malwares?
S.5.8-018 | Component 5 - Security | S.5.8 Adjust Default Settings | #18 | Are account configuration default settings changed for both the hosting environment and content management system?
S.5.9-019 | Component 5 - Security | S.5.9 Error Messages | #19 | Does the error message display information that the visitor actually need, without revealing the structure of any component of the website?
S.5.9-020 | Component 5 - Security | S.5.9 Error Messages | #20 | Are detailed errors kept in the server log?
S.5.10-021 | Component 5 - Security | S.5.10. Secure APIs | #21 | Do APIs use HTTPS?
S.5.10-022 | Component 5 - Security | S.5.10. Secure APIs | #22 | Does the API Use OAuth?
S.5.10-023 | Component 5 - Security | S.5.10. Secure APIs | #23 | Does the tokens have an expiration time?
S.5.10-024 | Component 5 - Security | S.5.10. Secure APIs | #24 | Does the API have a limitation on how many times the client is allowed to call it?
S.5.10-025 | Component 5 - Security | S.5.10. Secure APIs | #25 | Are parameters always validated?
S.5.10-026 | Component 5 - Security | S.5.10. Secure APIs | #26 | Are IDs opaque and globally unique? For example, rather than using the ID “1002 “and “1003 “use “r5t844fsg6fssf2vfrb9bd8”.
S.5.10-027 | Component 5 - Security | S.5.10. Secure APIs | #27 | Is the IP address filtered, where the API IP address can be only accessed for certain IPs?
S.5.10-028 | Component 5 - Security | S.5.10. Secure APIs | #28 | Is Timestamp added in the Request, where it only accepts requests within a reasonable timeframe?
S.5.10-029 | Component 5 - Security | S.5.10. Secure APIs | #29 | Is the URL free of exposed information? For example: Usernames, passwords, session tokens, API keys, etc...
