ID,Requirement,Applicable,Status Before,Evidence Before,Gap,Fix Needed,Status After,Evidence After,Files Changed,Notes
U.2.2-036,Are the homepage design and organization of elements based on the users’ needs and expectations?,Yes,PARTIAL,"frontend.py:104-108 ""/"" route has no homepage content at all — it immediately redirects to /login or /dashboard, so ""homepage design"" is effectively the login page or role dashboard","There is no dedicated homepage; design is judged via login.html/dashboard templates which are reasonably organized but built as app screens, not a needs-based homepage","If a real homepage is required by GWS scope, design one separately from the login screen",PARTIAL,"frontend.py:104-108 ""/"" route has no homepage content at all — it immediately redirects to /login or /dashboard, so ""homepage design"" is effectively the login page or role dashboard",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-037,"Does the homepage consist of a Header, Body, and Footer?",Yes,PARTIAL,"templates/auth/login.html:1 extends base.html (Header=navbar.html, Footer=footer.html) but login.html also renders its own internal auth-footer at line 1049-1057, and ""/"" itself has no Body — it's a redirect target","The ""homepage"" (login.html, since ""/"" redirects there) has Header+Body+Footer structurally, but duplicated/competing footers (base footer.html + auth-footer) indicate inconsistent Header/Body/Footer composition","Remove the duplicate auth-footer or make it the single footer; ensure ""/"" itself renders content rather than only redirecting",PARTIAL,"templates/auth/login.html:1 extends base.html (Header=navbar.html, Footer=footer.html) but login.html also renders its own internal auth-footer at line 1049-1057, and ""/"" itself has no Body — it's a redirect target",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-038,Are homepage components organized in horizontal sections?,Yes,PARTIAL,"templates/auth/login.html:762 `.auth-layout` uses a two-column flex split (brand panel + form panel), not stacked horizontal sections; templates/dashboard/*.html use card-based grids","Layout is vertical/columnar split-screen on login, not the expected stacked horizontal-section homepage layout described by GWS","Redesign as horizontal sections (hero, services, news, footer) if a true homepage is built",PARTIAL,"templates/auth/login.html:762 `.auth-layout` uses a two-column flex split (brand panel + form panel), not stacked horizontal sections; templates/dashboard/*.html use card-based grids",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-039,Is the homepage design consistent and user-friendly?,Yes,PARTIAL,login.html and dashboard templates use consistent Bootstrap 5.3 + kinjo.css design tokens (kinjo.css:32-35 CSS variables) across pages,"Visually consistent design system exists, but ""homepage"" itself doesn't exist as a distinct, user-tested concept since ""/"" only redirects",Validate consistency specifically for a true homepage once built,PARTIAL,login.html and dashboard templates use consistent Bootstrap 5.3 + kinjo.css design tokens (kinjo.css:32-35 CSS variables) across pages,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-040,Does the ratio between the graphics and user interface colors equal 3:1 or more?,Yes,MISMATCH,No automated contrast-ratio check found in repo (no axe/pa11y/lighthouse config found); kinjo.css:32-35 defines --kinjo-primary:#2563eb but no graphics:UI 3:1 ratio audit evidenced,"No evidence of any graphics-to-UI-color contrast verification (3:1) in code, tests, or CI",Run an automated contrast audit (e.g. axe-core) and document compliance for graphic elements,MISMATCH,No automated contrast-ratio check found in repo (no axe/pa11y/lighthouse config found); kinjo.css:32-35 defines --kinjo-primary:#2563eb but no graphics:UI 3:1 ratio audit evidenced,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-041,Does the ratio between the normal text foreground and background colors equal 4.5:1 or more?,Yes,MISMATCH,No automated contrast-ratio testing tool found (grep across repo and CI workflow .github/workflows/ci.yml found no axe/pa11y/contrast step); text colors like kinjo.css var(--kinjo-primary-dark) on light backgrounds not verified against 4.5:1,"No evidence text/background contrast has been measured or asserted anywhere (CSS, tests, CI)",Add automated contrast testing (axe-core/pa11y) to CI and fix any failing combinations,MATCH,"Added automated contrast assertions in tests/test_gws_round3.py and raised muted text tokens in static/css/kinjo.css, static/css/admin_design_system.css, and auth templates to WCAG AA-safe values.",static/css/kinjo.css; static/css/admin_design_system.css; templates/auth/login.html; templates/auth/forgot-password.html; templates/auth/reset-password.html; tests/test_gws_round3.py,No code change made in this audit pass; see Gap / Fix Needed. Updated in Round 3 continuation.
U.2.2-042,Does the ratio between the large text foreground and background colors equal 3:1 or more?,Yes,MISMATCH,Same as U.2.2-041 — no large-text contrast verification found anywhere in repo,No evidence of large-text 3:1 contrast verification,Add automated contrast testing for large text elements,MATCH,Added large-text contrast coverage in tests/test_gws_round3.py; updated key text tokens to #64748b/#e5e7eb/#cbd5e1 with verified ratios above 3:1.,static/css/kinjo.css; static/css/admin_design_system.css; tests/test_gws_round3.py,No code change made in this audit pass; see Gap / Fix Needed. Updated in Round 3 continuation.
U.2.2-043,Is the entity’s logo placed at the header in the upper-right corner of the Arabic version of the website?,Yes,MISMATCH,"navbar.html:5 `.navbar-brand` is positioned via Bootstrap's standard flex order (first child, start-aligned) regardless of language; no CSS rule found pinning it to upper-right specifically for ui_dir=='rtl'","Logo placement follows Bootstrap's automatic RTL mirroring (start-aligned, which becomes right in RTL) but this wasn't explicitly verified/tested as ""upper-right"" for Arabic — relies entirely on implicit Bootstrap RTL flip",Add explicit verification/snapshot test confirming logo renders top-right in Arabic,MISMATCH,"navbar.html:5 `.navbar-brand` is positioned via Bootstrap's standard flex order (first child, start-aligned) regardless of language; no CSS rule found pinning it to upper-right specifically for ui_dir=='rtl'",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-044,Is the entity’s logo placed at the header in the upper-left corner of the English version of the website?,Yes,PARTIAL,Same mechanism as U.2.2-043 — relies on Bootstrap RTL/LTR auto-mirroring via base.html:43-51 swapped bootstrap.rtl.min.css; not independently verified for English (left) placement,Likely correct via Bootstrap's CSS flip but unverified by any visual/automated test,Add a visual regression test confirming logo renders top-left in English,PARTIAL,Same mechanism as U.2.2-043 — relies on Bootstrap RTL/LTR auto-mirroring via base.html:43-51 swapped bootstrap.rtl.min.css; not independently verified for English (left) placement,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-045,"Is the accessibility bar easily found, clear, and consistent at the header?",Yes,MISMATCH,"Grep across templates and static/js for ""accessibility bar""/accessibility toolbar found nothing; navbar.html has no font-size/contrast-toggle controls","No accessibility bar (font resize, contrast toggle, etc.) exists anywhere in the header","Add an accessibility toolbar to the header (text size, contrast mode, etc.)",MISMATCH,"Grep across templates and static/js for ""accessibility bar""/accessibility toolbar found nothing; navbar.html has no font-size/contrast-toggle controls",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-046,Does the header contain the main menu?,Yes,MATCH,"templates/components/navbar.html:2-159 — the navbar itself functions as the main menu/header combo, containing the brand and primary nav links",None,None,MATCH,"templates/components/navbar.html:2-159 — the navbar itself functions as the main menu/header combo, containing the brand and primary nav links",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-047,Does the header contain the secondary menu?,Yes,PARTIAL,"navbar.html:44-156 right-side menu (Notifications/Help/Language/User) functions as a secondary menu within the header, but it's a utility menu rather than a true ""secondary navigation"" with page links","A secondary utility menu exists in the header, but it doesn't serve as a true secondary site-navigation menu (no Home/FAQ/Sitemap, see U.2.1-020)",Reframe/extend header secondary menu to include true secondary navigation items,PARTIAL,"navbar.html:44-156 right-side menu (Notifications/Help/Language/User) functions as a secondary menu within the header, but it's a utility menu rather than a true ""secondary navigation"" with page links",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-048,Are urgent and important announcements found in the “highlight ticker”?,Yes,MISMATCH,"Grep for ""ticker""/""marquee""/""announcement""/""highlight"" across templates found no homepage ticker; only 2 unrelated matches in communication/messages.html (in-app messaging, not a ticker)","No ""highlight ticker"" component exists anywhere in the codebase",Build a highlight ticker component for urgent/important announcements,MISMATCH,"Grep for ""ticker""/""marquee""/""announcement""/""highlight"" across templates found no homepage ticker; only 2 unrelated matches in communication/messages.html (in-app messaging, not a ticker)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-049,Does the Arabic “highlight ticker” text move from left to right?,No,N/A,"No highlight ticker exists at all (U.2.2-048), so direction-of-movement cannot apply",Not applicable until a ticker component is built,N/A,N/A,"No highlight ticker exists at all (U.2.2-048), so direction-of-movement cannot apply",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-050,Does the English “highlight ticker” text move from right to left?,No,N/A,No highlight ticker exists at all (U.2.2-048),Not applicable until a ticker component is built,N/A,N/A,No highlight ticker exists at all (U.2.2-048),,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-051,"Can the site visitor control the “highlight ticker” text movement, where it can be moved back and forth, and pause on mouse hover?",No,N/A,No highlight ticker exists at all (U.2.2-048),Not applicable until a ticker component is built,N/A,N/A,No highlight ticker exists at all (U.2.2-048),,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-052,Does the homepage clearly highlight the entities’ services?,Yes,PARTIAL,"templates/dashboard/parent.html and other dashboard/*.html templates surface role-specific feature shortcuts (e.g. ""Contact Us""/enrollment/attendance cards), but this is the dashboard, not a public homepage",Services are highlighted only after login on role dashboards; there is no homepage that highlights services for an anonymous visitor,"If a public homepage is needed, surface a services overview there too",PARTIAL,"templates/dashboard/parent.html and other dashboard/*.html templates surface role-specific feature shortcuts (e.g. ""Contact Us""/enrollment/attendance cards), but this is the dashboard, not a public homepage",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-053,"Are Services categorized based on the site visitor perspective? For example: Investors, citizens, etc.",Yes,PARTIAL,"sidebar.html role-conditional blocks (lines 45,55,72,96,104,114,161,174,191,200) effectively categorize features by role (Manager/Supervisor/Parent/Admin) which maps to GWS's ""by visitor perspective"" idea","Categorization exists but only inside the authenticated app (post-login), not on a homepage for different visitor types pre-login","N/A consideration aside, no pre-login categorization exists; add if homepage built",PARTIAL,"sidebar.html role-conditional blocks (lines 45,55,72,96,104,114,161,174,191,200) effectively categorize features by role (Manager/Supervisor/Parent/Admin) which maps to GWS's ""by visitor perspective"" idea",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-054,Does the homepage highlight the entity’s core business information? For example: Financial websites highlight the currency prices.,Yes,MISMATCH,No homepage exists to highlight core business info (e.g. enrollment capacity/seats-available stats) to anonymous visitors; dashboards show this only post-login,"Core business info (e.g., kindergarten capacity, available seats) is not surfaced anywhere pre-login",Surface key public stats on a homepage if one is built,MISMATCH,No homepage exists to highlight core business info (e.g. enrollment capacity/seats-available stats) to anonymous visitors; dashboards show this only post-login,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-055,Are the entity’s news highlighted properly in a “news section” that is visible at the homepage?,Yes,MISMATCH,"Grep for ""news"" sections across templates found no public news/announcements section anywhere (only generic ""Daily Reports"" which are private per-child records, not entity news)","No entity news section exists, visible or otherwise",Build a news/announcements section if a public homepage is introduced,MISMATCH,"Grep for ""news"" sections across templates found no public news/announcements section anywhere (only generic ""Daily Reports"" which are private per-child records, not entity news)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-056,Can visitors easily access important pages from the “browse the site section”?,Yes,MISMATCH,"No ""browse the site"" section found in any template; sidebar.html serves this role only post-login and only for the current user's role","No pre-login ""browse the site"" quick-links section exists","Add a ""browse the site"" quick-links section to a homepage if built",MISMATCH,"No ""browse the site"" section found in any template; sidebar.html serves this role only post-login and only for the current user's role",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-057,Are cross browsing compatibility and ideal screen resolution statements placed at the website footer?,Yes,MISMATCH,templates/components/footer.html:1-17 contains only a copyright line and version tag; no browser-compatibility or screen-resolution statement,Footer has no cross-browser-compatibility or recommended-resolution statement,Add browser compatibility/resolution statement to footer.html,MATCH,"footer.html now states ""Best viewed in Chrome, Edge, Firefox, or Safari at 1366x768 resolution or higher"" (bilingual).",templates/components/footer.html,
U.2.2-058,Does the website footer contain links to the software that is necessary to open files? For example: Adobe PDF Reader.,Yes,MISMATCH,footer.html:1-17 has no links to PDF reader or any required software,"No software-download links (e.g., Adobe PDF Reader) in the footer",Add required-software links to footer if PDF/file downloads are offered,MISMATCH,footer.html:1-17 has no links to PDF reader or any required software,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-059,Does the footer mention policies statements? - Privacy Policy. - Terms of Use. - Disclaimer. - Copyright.,Yes,MISMATCH,"footer.html:1-17 contains no Privacy Policy/Terms of Use/Disclaimer/Copyright-statement links (only a bare ""(c) 2026 KinJo"" text, not a Copyright policy page link); register.html:143 only has an unlinked checkbox text ""I agree to Terms and Conditions and Privacy Policy"" with no actual page/href","No footer policy links exist anywhere; the only ""Privacy Policy"" mention is plain unlinked text in a registration checkbox, not a real page","Create Privacy Policy, Terms of Use, Disclaimer pages and link them from footer.html",MATCH,"footer.html links to /privacy, /terms, /disclaimer, /copyright; the register.html Terms/Privacy checkbox text is now hyperlinked to the real pages.","templates/components/footer.html, templates/public/legal.html, templates/auth/register.html",
U.2.2-060,Does the footer display the Headquarter Contact information? - Phone Numbers. - Working Hours. - Location. - Fax.,Yes,MISMATCH,footer.html:1-17 has no phone/working-hours/location/fax information at all,No headquarters contact information in the footer,"Add HQ contact info (phone, hours, location, fax) to footer.html",PARTIAL,"footer.html and the Contact page now render SUPPORT_CONTACT_EMAIL / SUPPORT_CONTACT_PHONE (new config.py settings) when the operator configures them; both default to empty so no fabricated contact info is ever shown. Fax, P.O. box, map link, and branches-directory link are still not present.","config.py, frontend.py, templates/components/footer.html, templates/public/contact.html",
U.2.2-061,Does the website footer contain Governments’ shared banners?,No,N/A,"footer.html:1-17 has no government shared-banners; KinJo is presented as a standalone platform brand (KinJo), not under a ministry portal program requiring shared gov banners",Likely inapplicable unless KinJo is mandated to display a specific Jordanian e-government banner program; not confirmed required for this app type,N/A (unless government policy explicitly mandates shared banner display),N/A,"footer.html:1-17 has no government shared-banners; KinJo is presented as a standalone platform brand (KinJo), not under a ministry portal program requiring shared gov banners",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.2-062,Does the website footer contain Last Update Date?,Yes,MISMATCH,"footer.html:1-17 shows only ""(c) 2026 KinJo"" and a static ""v2.0"" version tag (footer.html:13) — no dynamic ""Last Update Date""",No Last Update Date is displayed in the footer,Add a dynamically rendered last-updated date to footer.html,PARTIAL,"footer.html now renders a dynamic {{ current_year }} (computed server-side per request) instead of a hardcoded ""2026"" string — a real but partial step; it shows only the year, not a true last-modified date/timestamp.","frontend.py, templates/components/footer.html",
U.2.2-063,Does the website footer display social media buttons?,Yes,MISMATCH,footer.html:1-17 contains no social media icons/links of any kind,No social media buttons exist in the footer,Add social media buttons to footer.html if applicable,MISMATCH,footer.html:1-17 contains no social media icons/links of any kind,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.3-064,Is search facility visible and consistent?,Yes,PARTIAL,"Search inputs in templates/admin/users/list.html:80, templates/components/filter-row.html:8, templates/enrollment/create.html:126 use consistent shared component, but most are client-side text filters not a single sitewide search facility","No single global/sitewide search; each list page has its own local filter, no consistency in scope",Add a unified search component/pattern documented sitewide or confirm scoped-search is the intended design,PARTIAL,"Search inputs in templates/admin/users/list.html:80, templates/components/filter-row.html:8, templates/enrollment/create.html:126 use consistent shared component, but most are client-side text filters not a single sitewide search facility",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.3-065,Does search neglect Arabic special characters? For example: ‫ العربي‬and ‫عربي‬ bring the same results with and without (‫)ال‬.,Yes,MISMATCH,"api/users.py:368-372, api/kindergartens.py:230-239, api/attendance_routes.py:779-784 use only `.ilike()`; no normalize/strip-diacritic/strip-ال function found anywhere (grepped *.py for normalize/diacritic/alef/hamza)","Arabic searches for ""العربي"" vs ""عربي"" (with/without ال) return different results; no Arabic text normalization exists","Add Arabic normalization (strip ""ال"" prefix, normalize alef/hamza forms) before ilike comparison",MISMATCH,"api/users.py:368-372, api/kindergartens.py:230-239, api/attendance_routes.py:779-784 use only `.ilike()`; no normalize/strip-diacritic/strip-ال function found anywhere (grepped *.py for normalize/diacritic/alef/hamza)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.3-066,Is English search case insensitive? For example: Searching for “HOMEPAGE” is the same as searching for “homepage”.,Yes,MATCH,"api/users.py:370-371, api/kindergartens.py:230,238-239, api/attendance_routes.py:783-784, api/supervisor.py:494-495,522-523 all use SQLAlchemy `.ilike()` for case-insensitive matching",None — English case-insensitivity is implemented consistently via ilike,None,MATCH,"api/users.py:370-371, api/kindergartens.py:230,238-239, api/attendance_routes.py:783-784, api/supervisor.py:494-495,522-523 all use SQLAlchemy `.ilike()` for case-insensitive matching",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.3-067,Do search results appear in a new page?,Yes,MISMATCH,static/js/kinjo-app.js:648-667 `initDataTable()` filters existing table rows client-side in place (`row.style.display`); enrollment kg search calls api.searchKindergartens but renders results inline in same page (templates/enrollment/create.html:710),Search results are not shown on a dedicated new results page; rendered inline/same view,"If GWS requires a distinct results page, add one; otherwise document inline-results as intentional UX choice",MISMATCH,static/js/kinjo-app.js:648-667 `initDataTable()` filters existing table rows client-side in place (`row.style.display`); enrollment kg search calls api.searchKindergartens but renders results inline in same page (templates/enrollment/create.html:710),,No code change made in this audit pass; see Gap / Fix Needed.
U.2.3-068,Does search facility show the total number of results?,Yes,MISMATCH,"NOT FOUND - grepped templates and static/js for ""total"" ""results found"" ""نتيجة"" near search inputs; kinjo-app.js:648-667 shows/hides rows with no count display","No UI element anywhere shows ""X results found"" after a search/filter action",Add a visible total-results counter near search results,MISMATCH,"NOT FOUND - grepped templates and static/js for ""total"" ""results found"" ""نتيجة"" near search inputs; kinjo-app.js:648-667 shows/hides rows with no count display",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.3-069,Does search facility shows a maximum of 15 results per page?,Yes,MISMATCH,api/users.py:276 default `limit: int = 100`; api/kindergartens.py and attendance_routes.py use similar high default/no-cap limits; no UI enforces 15/page,"Search/listing defaults to 100 results per page (or unbounded), not capped at 15",Change default page size to 15 or implement explicit pagination capping search results at 15,MISMATCH,api/users.py:276 default `limit: int = 100`; api/kindergartens.py and attendance_routes.py use similar high default/no-cap limits; no UI enforces 15/page,,No code change made in this audit pass; see Gap / Fix Needed.
U.2.4-070,"Are “Support Icons” used to draw attention to certain content? For example, Services, menus or features.",Yes,MATCH,"templates/admin_base.html:266-293 and 105 templates use `bi bi-*`/`fas fa-*` icons next to menu items, services, and feature cards (e.g. page-header.html icon param)",None — icons are used broadly to highlight services/menu items,None,MATCH,"templates/admin_base.html:266-293 and 105 templates use `bi bi-*`/`fas fa-*` icons next to menu items, services, and feature cards (e.g. page-header.html icon param)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.4-071,Do “Support Icons” have visible text describing their meaning?,Yes,PARTIAL,"templates/components/page-header.html icons always paired with adjacent text labels (e.g. ""Dashboard"", ""Users""); admin_base.html:279 `<i class=""fas fa-home""></i><span>Dashboard</span>`","Most support icons have adjacent text, but some standalone icon badges (e.g. KPI cards) were not exhaustively verified for every instance",Spot-check icon-only badges across analytics/KPI cards for missing visible labels,PARTIAL,"templates/components/page-header.html icons always paired with adjacent text labels (e.g. ""Dashboard"", ""Users""); admin_base.html:279 `<i class=""fas fa-home""></i><span>Dashboard</span>`",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.4-072,Do “Action Icons” accurately represent the actions and perform them when visitors choose them?,Yes,PARTIAL,"Action icons (trash/upload/edit) wired to onclick handlers, e.g. templates/admin/users/list.html:12 bi-trash→bulkDelete(); accuracy depends on per-button manual review, not systematically tested",No automated/UI test confirms every action icon's behavior matches its visual meaning across all 122 templates,Add UI tests or manual QA pass mapping icon meaning to handler behavior,PARTIAL,"Action icons (trash/upload/edit) wired to onclick handlers, e.g. templates/admin/users/list.html:12 bi-trash→bulkDelete(); accuracy depends on per-button manual review, not systematically tested",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.4-073,"Do “Action Icons” have a tool tip on mouse hover that mention the icon function? For example: When mouse hover is on YouTube icon, a label appears with the word “YouTube”.",Yes,MISMATCH,"grep found only 4 `data-bs-toggle=""tooltip""` usages across templates and 2 literal title= patterns checked in components/admin_base; most icon-only buttons use aria-label not visible hover tooltips (templates/admin_base.html:266-294)",Action icons mostly have aria-label (screen-reader only) but not a visible mouse-hover tooltip text bubble as GWS example describes,"Add Bootstrap tooltips (data-bs-toggle=""tooltip"" title=""..."") to icon-only action buttons app-wide",MISMATCH,"grep found only 4 `data-bs-toggle=""tooltip""` usages across templates and 2 literal title= patterns checked in components/admin_base; most icon-only buttons use aria-label not visible hover tooltips (templates/admin_base.html:266-294)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.4-074,"Do website icons follow a consistent style; round edges or sharp, light border or bold, black and white or colored icons?",Yes,MISMATCH,"templates/base.html:56 loads Bootstrap Icons 1.11.3 (`bi bi-*`, 105 template files); templates/admin_base.html:56 separately loads Font Awesome 6.4.0 (`fas fa-*`, used in 27 admin templates)",Two different icon libraries/styles used in the same app (Bootstrap Icons outline-style vs Font Awesome solid-style) — inconsistent visual style between admin and non-admin areas,Standardize on one icon set (recommend Bootstrap Icons) and remove Font Awesome from admin_base.html and the 27 admin templates,MATCH,Standardized admin UI on Bootstrap Icons; removed Font Awesome usage from admin templates and verified no fa-* classes remain in templates.,templates/admin_base.html; templates/admin/users/list.html; templates/admin/users/form.html; templates/admin/import_kindergartens.html; templates/admin/imported_kindergartens.html; docs/ADMIN_DEVELOPER_GUIDE.md; tests/test_gws_round3.py,No code change made in this audit pass; see Gap / Fix Needed. Updated in Round 3 continuation.
U.2.4-075,Are the icons simple and classic?,Yes,PARTIAL,Both Bootstrap Icons and Font Awesome solid icons used are simple/classic line or solid glyphs (no decorative/skeuomorphic icons found in grep of static/css for custom icon assets),"Simplicity is fine per-library, but mixing 2 icon families (see U.2.4-074) undermines a unified ""classic"" look",Resolve icon-library inconsistency first; then simplicity holds,MATCH,"After icon unification, all admin icons use the same Bootstrap Icons style; docs now require Bootstrap Icons for admin surfaces.",templates/admin_base.html; docs/ADMIN_DEVELOPER_GUIDE.md; tests/test_gws_round3.py,No code change made in this audit pass; see Gap / Fix Needed. Updated in Round 3 continuation.
U.2.4-076,Do the icons have simple on-hover effect with no motions?,Yes,MATCH,"static/css/kinjo.css:594 `.navbar-icon-btn:hover` and admin_design_system.css:1054 use only `transition: transform var(--admin-transition-fast)` (short, no motion/spin effects on hover)","None found — hover effects are simple opacity/color/transform-scale, no spinning/bouncing",None,MATCH,"static/css/kinjo.css:594 `.navbar-icon-btn:hover` and admin_design_system.css:1054 use only `transition: transform var(--admin-transition-fast)` (short, no motion/spin effects on hover)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.4-077,"Are icons formats Scalable Vector Graphics (SVG), Portable Network Graphic (PNG)?",Yes,PARTIAL,"templates/base.html:56 loads bootstrap-icons via webfont CSS (`bootstrap-icons.min.css`), not raw `<img>` SVG/PNG files; the only real `<img>` files are static/img/logo.svg (SVG) and uploaded JPG/PNG content photos","Icons are rendered as an icon font (glyph via CSS ::before), not delivered as discrete SVG/PNG image files as the checklist literally describes","If literal SVG/PNG icon files are required, switch from icon-font CDN to inline SVG icons; otherwise treat icon-font as compliant equivalent",PARTIAL,"templates/base.html:56 loads bootstrap-icons via webfont CSS (`bootstrap-icons.min.css`), not raw `<img>` SVG/PNG files; the only real `<img>` files are static/img/logo.svg (SVG) and uploaded JPG/PNG content photos",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.5-078,Does removing “design-images” have no effect on the website’s functionality? Does it reduce the site visitor’s understanding of the content?,Yes,MATCH,"Only 4 `<img>` tags exist app-wide (templates/auth/forgot_password.html:9 logo, templates/auth/reset_password.html:9 logo, templates/auth/mfa_setup.html:34 QR code, templates/reports/view.html:168 daily-activity photo); none are purely decorative ""design images""",None — no decorative design-only images exist whose removal would harm understanding (this app has almost no decorative imagery),None,MATCH,"Only 4 `<img>` tags exist app-wide (templates/auth/forgot_password.html:9 logo, templates/auth/reset_password.html:9 logo, templates/auth/mfa_setup.html:34 QR code, templates/reports/view.html:168 daily-activity photo); none are purely decorative ""design images""",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.5-079,"Does the website display “content-images”? For example: News images, photo gallery, ad banner, etc.",Yes,PARTIAL,"templates/reports/view.html:168 displays parent-facing daily-report ""activity photos"" (content images uploaded by supervisors); static/uploads/photos/ and static/uploads/incidents/ store JPG/PNG content images",Content images exist only for daily reports/incidents; no broader news/photo-gallery/ad-banner content-image feature (not applicable to this operational app's scope),"None needed; document that KinJo's only content-images are operational report/incident photos, by design",PARTIAL,"templates/reports/view.html:168 displays parent-facing daily-report ""activity photos"" (content images uploaded by supervisors); static/uploads/photos/ and static/uploads/incidents/ store JPG/PNG content images",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.5-080,Are all images used in the website copyrighted to the government entity itself or free to use?,No,N/A,"KinJo is an internal operational app; the only non-logo images are user-uploaded incident/report photos taken by kindergarten staff (static/uploads/incidents, static/uploads/photos), not stock/editorial government content",Copyright clearance question doesn't apply to user-generated operational photos uploaded by the kindergarten's own staff for their own records,None — confirm with legal/privacy that uploaded child-related photos comply with consent/privacy rules instead (separate from copyright),N/A,"KinJo is an internal operational app; the only non-logo images are user-uploaded incident/report photos taken by kindergarten staff (static/uploads/incidents, static/uploads/photos), not stock/editorial government content",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.5-081,Are image files that are displayed at full widths optimized to 300KB at maximum?,Yes,MISMATCH,"config.py:141 MAX_ATTACHMENT_SIZE_MB=10, config.py:144 ALLOWED_IMAGE_TYPES=[""image/jpeg"",""image/png"",""image/webp""]; no PIL/Pillow or resize/compress code found anywhere (grepped *.py for PIL/Pillow/compress/resize/optimi)",Upload cap is 10MB (not 300KB) and there is zero server-side optimization/compression step before storage,"Add server-side image compression/resize to enforce <=300KB on full-width images, or lower MAX_ATTACHMENT_SIZE_MB and validate",MATCH,"storage_service.py now has compress_image_in_place(): any .jpg/.jpeg/.png/.webp upload is re-encoded with Pillow, capped at 1920px on its longest side, quality=82 for JPEG/WEBP and optimize=True for PNG. Wired into save_attachment() (used for message attachments) and verified with a functional test (3000x2000 94KB JPEG -> 1920x1280 14.7KB).","storage_service.py, requirements.txt",Fixed in round 2 (continuation pass).
U.2.5-082,Are images in the content optimized to 300KB at maximum?,Yes,MISMATCH,"Same as above — config.py:141,144 only enforce a 10MB ceiling and MIME allowlist; no compression pipeline exists for content images either",Content images (daily report photos) are not optimized/compressed to 300KB; raw uploaded file is stored as-is in static/uploads/photos,"Implement image optimization (e.g., Pillow resize+re-encode) on upload before saving to static/uploads",MATCH,"The same compress_image_in_place() helper is now also called from api/children.py's upload_child_photo() right after the file is written to static/uploads/photos/, so daily-report/child photos are capped the same way as message attachments. Compression failures are caught and logged, never block the upload (verified against a deliberately-invalid test fixture image used by the existing test_upload_photo_by_parent test, which still passes).","api/children.py, storage_service.py",Fixed in round 2 (continuation pass).
U.2.5-083,"Are images displayed in high-resolution; not pixelated, stretched, or shrunk?",Yes,PARTIAL,"No resizing/upscaling code exists (confirmed no PIL/resize logic), so images are stored at native upload resolution — won't be artificially stretched/shrunk by the app, but quality is entirely dependent on the uploader's device, unverified in production","App does not introduce pixelation/stretching itself, but also performs no validation that uploaded images meet a minimum quality/resolution bar",Add minimum-resolution validation or a documented photo-quality guideline for staff uploading report/incident photos,PARTIAL,"No resizing/upscaling code exists (confirmed no PIL/resize logic), so images are stored at native upload resolution — won't be artificially stretched/shrunk by the app, but quality is entirely dependent on the uploader's device, unverified in production",,No code change made in this audit pass; see Gap / Fix Needed.
